region_id,unit_id,fire_number,discovery_date,discovery_time,first_attack_date,first_attack_time,strategy_met_date,strategy_met_time,fire_out_date,fire_out_time,total_acres,statistical_cause,latitude,longitude
3,312,2011312012,4/18/2011,23:25,4/18/2011,23:50,4/18/2011,23:55,4/19/2011,8:00,0.2,7,46.15852005,-93.79558824
3,351,2011351012,4/19/2011,12:01,4/19/2011,12:21,4/19/2011,12:48,4/19/2011,14:00,0.01,5,45.52363656,-93.4478956
3,312,2011312013,4/19/2011,19:10,4/19/2011,19:32,4/19/2011,19:55,4/20/2011,8:00,7.4,7,45.73771671,-93.43339526
3,312,2011312014,4/19/2011,21:17,4/19/2011,21:30,4/19/2011,22:00,4/22/2011,8:00,5,7,45.61692688,-93.76307434
2,251,2011251005,4/21/2011,17:32,4/21/2011,17:45,4/21/2011,17:50,4/21/2011,18:05,0.1,5,46.62193952,-92.53059117
2,221,2011221003,4/21/2011,19:48,4/21/2011,20:18,4/21/2011,20:35,5/5/2011,15:30,1.5,5,47.25174676,-93.45089264
1,121,2011121006,4/23/2011,13:42,4/23/2011,13:55,4/23/2011,14:12,5/2/2011,8:00,2,7,48.61036049,-96.45128937
1,111,2011111010,4/23/2011,16:30,4/23/2011,16:40,4/23/2011,16:55,5/24/2011,8:00,3,7,47.26460214,-95.62371316
2,251,2011251006,4/24/2011,13:05,4/24/2011,13:11,4/24/2011,13:17,4/24/2011,13:56,1,5,46.74117301,-92.45207516
2,244,2011244013,4/24/2011,13:07,4/24/2011,13:30,4/24/2011,14:11,4/25/2011,8:00,10,5,46.27504034,-92.54426945
1,161,2011161003,4/24/2011,13:25,4/24/2011,13:45,4/24/2011,14:00,4/24/2011,14:30,0.2,5,46.51946789,-94.9181981
2,234,2011234005,4/24/2011,13:28,4/24/2011,13:49,4/24/2011,14:25,4/25/2011,12:00,0.1,7,47.51707195,-92.52795191
3,351,2011351013,4/24/2011,13:40,4/24/2011,14:11,4/24/2011,15:27,5/31/2011,18:00,0.5,5,45.42825131,-93.03308364
1,161,2011161006,4/24/2011,14:12,4/24/2011,14:12,4/24/2011,14:30,4/25/2011,8:00,0.1,7,46.98629582,-95.39447141
