FIREUNITID,ORGNAME,FIRENAME,FIRETYPE,FIRESUBTYPE,WXSTATIONID,TREATMENTTYPE1,DISCOVERYDATETIME,INITIATIONDATE,STARTDATE,LATITUDE,LONGITUDE,ASPECT,LAYOFLAND,SLOPE,TOTALPRESCRIBEDACRES,TOTALACRES
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,BATES,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,4/28/2011,4/28/2011,4/28/2011,45.88440506,-95.99506807,Flat,Flat,0-25,110,110
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,BLAKESLEY NORTH,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,4/28/2011,4/28/2011,4/28/2011,45.9769,-95.8766,Flat,Flat,0-25,113,113
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,PAUL JR 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/12/2011,5/12/2011,5/12/2011,47.222,-95.82,Flat,Flat,0-25,48,48
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,MELBY 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,47.003,-96.357,Flat,Flat,0-25,77,77
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,BUCHL 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/28/2011,4/28/2011,4/28/2011,46.057,-95.995,Flat,Flat,0-25,461,461
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,MAVIS TRAIL,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/15/2011,5/15/2011,5/15/2011,46.292,-95.801,Flat,Flat,0-25,22,22
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,BAKKE NORTH,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,46.178667,-96.02875,Flat,Flat,0-25,152,152
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,GREEN NORTH,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,45.9165,-96.1176,Flat,Flat,0-25,164,164
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,FUGLIE NORTH,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/3/2011,5/3/2011,5/3/2011,47.073,-96.316,Flat,Flat,0-25,557,557
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,LARSON 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,6/1/2011,6/1/2011,6/1/2011,46.722,-96.138,Flat,Flat,0-25,135,135
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,TOWNSEND EAST,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/15/2011,5/15/2011,5/15/2011,46.258319,-96.058555,Flat,Flat,0-25,60,60
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,PBG 1-3,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,7/12/2011,7/12/2011,7/12/2011,47.7111,-96.3331,Flat,Flat,0-25,156,156
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,HENJUM LAKE A,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,45.27722222,-95.19083333,Flat,Flat,0-25,134,134
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,RAMBOW,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,4/19/2011,4/19/2011,4/19/2011,45.07611111,-95.21166667,Flat,Flat,0-25,140,140
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,ELLINGSON,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/3/2011,5/3/2011,5/3/2011,45.89211,-95.75447,Flat,Flat,0-25,65,65
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,ANDERSON,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,10/20/2011,10/20/2011,10/20/2011,45.4134,-96.2216,Flat,Flat,0-25,23,23
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,BUSKO WEST,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,46.185148,-96.124527,Flat,Flat,0-25,123,123
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,MEE 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,47.5,-95.82,Flat,Flat,0-25,225,225
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,MARKS 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/25/2011,4/25/2011,4/25/2011,46.946,-96.143,Flat,Flat,0-25,360,360
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,STAFF EAST,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,46.53123987,-95.84799536,Flat,Flat,0-25,100,100
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,SHAY FALL RX #2,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,11/2/2011,11/2/2011,11/2/2011,46.104,-96.094,Flat,Flat,0-25,158,158
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,GOOSE LAKE B,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/25/2011,5/25/2011,5/25/2011,44.86583333,-94.61361111,Flat,Flat,0-25,86,86
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,AABERG,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,4/27/2011,4/27/2011,4/27/2011,46.436336,-96.163789,Flat,Flat,0-25,120,120
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,WOODLAND PILES,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,3/7/2011,3/7/2011,3/7/2011,45.47916667,-93.71305556,Flat,Flat,0-25,5,5
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,VISITOR CENTER,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/3/2011,5/3/2011,5/3/2011,46.956,-95.654,Flat,Flat,0-25,1,1
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,ZILMER NORTH 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/25/2011,5/25/2011,5/25/2011,46.054,-96.446,Flat,Flat,0-25,1050,1050
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,VAA 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/27/2011,4/27/2011,4/27/2011,47.656,-96.817,Flat,Flat,0-25,137,137
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,OLD HEADQUARTERS,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,46.26365,-96.038989,Flat,Flat,0-25,12,12
WIWNR,UPPER MISSISSIPPI RIVER NATIONAL WILDLIFE AND FISH REFUGE-WINONA DISTRICT,WEAVER ISLAND,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/4/2011,5/4/2011,5/4/2011,44.21444444,-91.9025,Flat,Flat,0-25,17,17
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,ZILMER PRAIRIE 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/6/2011,5/6/2011,5/6/2011,47.054,-96.446,Flat,Flat,0-25,462,462
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,KENSINGTON,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,45.7683,-95.700203,Flat,Flat,0-25,110,110
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,HOYKINS NORTH 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/15/2011,5/15/2011,5/15/2011,46.932,-96.264,Flat,Flat,0-25,180,180
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,HUNTER S,Treatment,Fires Ignited on FWS Lands by FWS,Sioux Falls SD,Prescribed Fire,5/10/2011,5/10/2011,5/10/2011,43.60715814,-95.15109239,Flat,Flat,0-25,102,102
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,FORKS BLACKLINE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,11/29/2011,11/29/2011,11/29/2011,45.46527778,-93.65083333,Flat,Flat,0-25,1,1
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,SHAY FALL RX #1,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,11/2/2011,11/2/2011,11/2/2011,46.104,-96.094,Flat,Flat,0-25,2,2
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,HEADQUARTERS 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,46.84,-96.84,Flat,Flat,0-25,25,25
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,BALSAM LAKE VC,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/3/2011,5/3/2011,5/3/2011,46.95,-95.69,Flat,Flat,0-25,2,2
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,CARLSON LAKE A,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,10/20/2011,10/20/2011,10/20/2011,45.22527778,-94.95472222,Flat,Flat,0-25,13,13
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,SHOP PILE 2,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,3/15/2011,3/15/2011,3/15/2011,45.53,-93.75166667,Flat,Flat,0-25,1,1
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,POMME DE TERRE N,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/6/2011,5/6/2011,5/6/2011,46.027592,-95.899167,Flat,Flat,0-25,391,391
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,CHEIF LAKE 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,47.04,-95.85,Flat,Flat,0-25,313,313
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,LAGE 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,46.742,-96.138,Flat,Flat,0-25,84,84
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,HEADQUARTERS FALL RX,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,11/8/2011,11/8/2011,11/8/2011,46.85,-96.84,Flat,Flat,0-25,19,19
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,TEN MILE SE,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/24/2011,5/24/2011,5/24/2011,46.151883,-95.953822,Flat,Flat,0-25,91,91
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,HEARTLAND INVESTMENT EAST,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/26/2011,5/26/2011,5/26/2011,45.829499,-96.071275,Flat,Flat,0-25,98,98
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,EGG LAKE PINES S,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,47.057,-95.968,Flat,Flat,0-25,15,15
MNMVR,MINNESOTA VALLEY NATIONAL WILDLIFE REFUGE,BLOOMINGTON VC,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/13/2011,4/13/2011,4/13/2011,44.86,-93.21638889,Flat,Flat,0-25,5,5
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,SEIDL SEEDING,Treatment,Fires Ignited on FWS Lands by FWS,MPX,Prescribed Fire,11/30/2011,11/30/2011,11/30/2011,45.5183,-96.5056,Flat,Flat,0-25,13,13
MNCMR,CRANE MEADOWS NATIONAL WILDLIFE REFUGE,HEADQUATERS SOUTHEAST,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/7/2011,4/7/2011,4/7/2011,45.93166667,-94.25,Flat,Flat,0-25,49,49
MNCMR,CRANE MEADOWS NATIONAL WILDLIFE REFUGE,HEADQUATERS SOUTHEAST,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/7/2011,4/7/2011,4/7/2011,45.93166667,-94.25,Flat,Flat,0-25,49,49
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,ARNESON EAST 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/10/2011,5/10/2011,5/10/2011,46.853,-96.946,Flat,Flat,0-25,56,56
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,HOLY TRINITY S,Treatment,Fires Ignited on FWS Lands by FWS,Sioux Falls SD,Prescribed Fire,5/10/2011,5/10/2011,5/10/2011,43.59133409,-95.14921354,Flat,Flat,0-25,121,121
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,MALLARD LAKE PINES,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,45.08527778,-95.56527778,North,Bench,0-25,16,16
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,LETHENSTRUM,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,10/19/2011,10/19/2011,10/19/2011,46.869,-95.951,Flat,Flat,0-25,80,80
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,NEUMAN,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/24/2011,5/24/2011,5/24/2011,46.20205,-96.08866,Flat,Flat,0-25,214,214
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,EGG LAKE PINES N,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,47.057,-95.968,Flat,Flat,0-25,38,38
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,HALLS LAKE E,Treatment,Fires Ignited on FWS Lands by FWS,Twin Cities MN,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,43.70467596,-93.50981323,Flat,Flat,0-25,14,14
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,TIMBER LAKE E,Treatment,Fires Ignited on FWS Lands by FWS,Sioux Falls SD,Prescribed Fire,6/4/2011,6/4/2011,6/4/2011,43.80174901,-95.21127868,Flat,Flat,0-25,156,156
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,CROW LAKE,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,10/31/2011,10/31/2011,10/31/2011,45.43944444,-95.07055556,Flat,Flat,0-25,20,20
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,HANSON LAKE PILE,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,6/28/2011,6/28/2011,6/28/2011,45.13166667,-94.61611111,Flat,Flat,0-25,1,1
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,FROLAND SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,4/25/2011,4/25/2011,4/25/2011,45.5822,-95.537,Flat,Flat,0-25,52,52
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,SIOUX FORKS W - SUMMER BURN ,Treatment,Fires Ignited on FWS Lands by FWS,Sioux Falls SD,Prescribed Fire,8/17/2011,8/17/2011,8/17/2011,43.53772768,-95.21401235,Flat,Flat,0-25,30,30
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,MINNESOTA E,Treatment,Fires Ignited on FWS Lands by FWS,Sioux Falls SD,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,43.50488191,-95.3129649,Flat,Flat,0-25,201,201
