FIREUNITID,ORGNAME,FIRENAME,FIRETYPE,FIRESUBTYPE,WXSTATIONID,TREATMENTTYPE1,DISCOVERYDATETIME,INITIATIONDATE,STARTDATE,LATITUDE,LONGITUDE,ASPECT,LAYOFLAND,SLOPE,TOTALPRESCRIBEDACRES,TOTALACRES
MNPVR,MINNESOTA STATE PRIVATE LANDS OFFICE,MADSEN TRACTS UNIT A AND B,Treatment,Fires Ignited on Other Lands by an Agreement,,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,44.56937,-95.01873,Flat,Flat,0-25,27,27
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,GOOSE CREEK SE (WUI),Treatment,Fires Ignited on Other Lands by an Agreement,Twin Cities MN,Prescribed Fire,5/6/2011,5/6/2011,5/6/2011,43.53914797,-93.41243365,Flat,Flat,0-25,185,185
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,BOON LAKE A,Treatment,Fires Ignited on Other Lands by an Agreement,214001,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,44.86583333,-94.61361111,Flat,Flat,0-25,82,82
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,STUHR EASEMENT,Treatment,Fires Ignited on Other Lands by an Agreement,,Prescribed Fire,5/5/2011,5/5/2011,5/5/2011,46.78,-96.47,Flat,Flat,0-25,40,40
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,KRUGER 3,Wildfire,Fires Suppressed on FWS Lands by Another Federal Agency,,,5/4/2011,,5/4/2011,47.02111111,-95.85055556,Flat,Flat,0-25,,1.5
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,BAKKEN,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,5/18/2011,,5/18/2011,46.812,-95.987,Flat,Flat,0-25,,1
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,KRUGER 2,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,5/4/2011,,5/4/2011,47.02055556,-95.25444444,Flat,Flat,0-25,,1
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,OVERLOOK,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,10/1/2011,,10/1/2011,46.94,-95.62,Flat,Flat,0-25,,0.1
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,TILDEN 23,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,Detroit Lakes,,6/23/2011,,6/23/2011,47.70197,-96.25254,Flat,Flat,0-25,,0.3
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,WESTBURY NORTH WPA #2,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,6/23/2011,,6/23/2011,46.91,-95.908,Flat,Flat,0-25,,1
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,TESSMAN CAR,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,12/8/2011,,12/8/2011,46.864,-95.909,Flat,Flat,0-25,,0.1
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,TESSMAN CAR,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,12/8/2011,,12/8/2011,46.864,-95.909,Flat,Flat,0-25,,0.1
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,TESSMAN CAR,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,12/8/2011,,12/8/2011,46.864,-95.909,Flat,Flat,0-25,,0.1
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,GETTEL,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,11/18/2011,,11/18/2011,45.74916667,-95.03083333,Flat,Flat,0-25,,21
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,KRUGER WPA,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,4/25/2011,,4/25/2011,47.02083333,-95.84972222,Flat,Flat,0-25,,1
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,GETTEL,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,11/18/2011,,11/18/2011,45.74555556,-95.03222222,Flat,Flat,0-25,,21
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,PINTO,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,11/4/2011,,11/4/2011,45.49111111,-95.48583333,Flat,Flat,0-25,,1
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,KRAGH,Wildfire,Fires Suppressed on FWS Lands by Another Non-Federal Agency,,,11/18/2011,,11/18/2011,44.39381,-96.38466,Flat,Flat,0-25,,1.6
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,WAUBOOSE LAKE,Wildfire,Fires Suppressed on FWS Lands by FWS,212201,,4/26/2011,,4/26/2011,47.02,-95.58,Flat,Flat,0-25,,2
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,BOY SCOUT,Wildfire,Fires Suppressed on FWS Lands by FWS,,,1/15/2011,,1/15/2011,45.50166667,-93.75861111,Flat,Flat,0-25,,1
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,SILO WILDFIRE,Wildfire,Fires Suppressed on FWS Lands by FWS,,,10/24/2011,,10/24/2011,48.282678,-96.04645,Flat,Flat,0-25,,1133
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,WELSH,Wildfire,Fires Suppressed on FWS Lands by FWS,,,12/19/2011,,12/19/2011,45.3266,-95.4176,Flat,Flat,0-25,,36
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,HWY 6,Wildfire,Fires Suppressed on FWS Lands by FWS,,,11/29/2011,,11/29/2011,45.45416667,-96.24416667,Flat,Flat,0-25,,18
MNRYR,RYDELL NATIONAL WILDLIFE REFUGE,WOODSIDE 10,Wildfire,Fires Suppressed on FWS Lands by FWS,,,9/6/2011,,9/6/2011,47.65433,-96.13045,Flat,Flat,0-25,,3
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,WAUBOOSE LAKE,Wildfire,Fires Suppressed on FWS Lands by FWS,,,4/26/2011,,4/26/2011,47.02,-95.58,Flat,Flat,0-25,,2
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,SHAY,Wildfire,Fires Suppressed on FWS Lands by FWS,,,4/26/2011,,4/26/2011,46.104,-96.094,Flat,Flat,0-25,,160
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,SPELLMAN,Wildfire,Fires Suppressed on FWS Lands by FWS,,,10/7/2011,,10/7/2011,44.66305556,-95.76611111,Flat,Flat,0-25,,5
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,MN DNR STAFFINF ASSIST,Wildfire,Fires Suppressed on Other Lands by an Agreement,,,10/5/2011,,10/5/2011,45.49583333,-93.69138889,Flat,Flat,0-25,,0
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,SHARP,Wildfire,Fires Suppressed on Other Lands by an Agreement,,,4/29/2011,,4/29/2011,48.2375,-95.82444444,Flat,Flat,0-25,,87
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,SHARP,Wildfire,Fires Suppressed on Other Lands by an Agreement,210801,,4/29/2011,,4/29/2011,48.2375,-95.82444444,Flat,Flat,0-25,,87
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,BENLACS,Wildfire,Fires Suppressed on Other Lands by an Agreement,,,4/19/2011,,4/19/2011,45.61666667,-93.77083333,Flat,Flat,0-25,,20
