FID,AREA,PERIMETER,FIRE_,FIRE_ID,LAT,LONG,DATE,JULIAN,GMT,BT4TEMP,BT5TEMP,SRC,SAT_SRC,CONF
120839,0,0,120840,160081,44.4684715,-93.1891022,5/4/2015 0:00:00,124,1930,333.1000061,288.5,rsac,S-NPP,Nominal
120876,0,0,120877,154515,44.4660301,-93.2016983,4/30/2015 0:00:00,120,1905,330.8999939,275.2999878,rsac,S-NPP,Nominal
120974,0,0,120975,142148,44.4591904,-96.0846024,4/26/2015 0:00:00,116,1840,339.8999939,300.2999878,rsac,S-NPP,Nominal
120982,0,0,120983,504389,44.4590111,-94.197998,7/16/2015 0:00:00,197,836,299.2000122,287.7000122,rsac,S-NPP,Nominal
121003,0,0,121004,146192,44.4575996,-96.0910034,4/26/2015 0:00:00,116,1840,334.6000061,300,rsac,S-NPP,Nominal
121011,0,0,121012,141766,44.4571991,-96.0849991,4/26/2015 0:00:00,116,1840,340.7999878,303.1000061,rsac,S-NPP,Nominal
121046,0,0,121047,592916,44.4545403,-92.3432999,8/15/2015 0:00:00,227,1857,333.8999939,298.3999939,rsac,S-NPP,Nominal
121126,0,0,121127,121672,44.4478111,-96.3944016,4/17/2015 0:00:00,107,1809,367,286.1000061,rsac,S-NPP,Nominal
121134,0,0,121135,136676,44.4469986,-94.7057037,4/23/2015 0:00:00,113,1936,347,303,rsac,S-NPP,Nominal
121151,0,0,121152,776237,44.4450912,-95.7479019,11/2/2015 0:00:00,306,1915,326.6000061,294.7000122,rsac,S-NPP,Nominal
121153,0,0,121154,121942,44.4449806,-96.3874969,4/17/2015 0:00:00,107,1809,367,291.7000122,rsac,S-NPP,Nominal
121169,0,0,121170,122231,44.4433289,-94.3448029,4/17/2015 0:00:00,107,824,296.2999878,278.8999939,rsac,S-NPP,Nominal
121172,0,0,121173,122348,44.4425011,-96.3948975,4/17/2015 0:00:00,107,1809,350.8999939,289,rsac,S-NPP,Nominal
121178,0,0,121179,121534,44.4417191,-96.3904037,4/17/2015 0:00:00,107,1809,367,292.2999878,rsac,S-NPP,Nominal
121220,0,0,121221,152912,44.4349785,-93.3871994,4/29/2015 0:00:00,119,1923,336.8999939,301.6000061,rsac,S-NPP,Nominal
121223,0,0,121224,152137,44.4343185,-93.3927002,4/29/2015 0:00:00,119,1923,331.5,301.7000122,rsac,S-NPP,Nominal
